"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW55,SW72,SW54,SW42,SW17,SW48,SW59,SW9,SW22,SW23,SW68,SW8,SW10,SW87,SW67,SW57,SW30,SW34,SW37,SW36,SW32,SW86,SW38,SW58,SW82,SW78,SW84,SW46,SW11,SW65,SW79,SW2,SW71,SW31,SW52,SW39,SW26,SW41,SW28,SW45,SW51,SW70,SW85,SW33,SW66,SW44,SW74,SW7,SW21,SW27,SW40,SW14,SW25,SW64,SW47,SW60,SW61,SW62,SW29,SW16,SW73,SW50,SW63,SW20,SW43,SW69,SW1,SW83,SW81,SW19,SW35,SW13,SW49,SW53,SW15,SW56,SW77";"SW_choc_v1_HS_CPG135001S30_1u";77;"SW_Push";;;
2;"R5,R6,R2,R1";"R_0805_2012Metric";4;"4.7K";;;
3;"TP4,TP2,TP1,TP2,TP3";"TestPoint_Pad_D2.0mm";5;"TestPoint";;;
4;"U1,U3";"DIP-28_W7.62mm";2;"MCP23017_SP";;;
5;"BZ2,BZ1";"Buzzer_12x9.5RM7.6";2;"Buzzer";;;
6;"SW4,SW76";"SW_choc_v1_HS_CPG135001S30_1.75u";2;"SW_Push";;;
7;"SW5,SW75,SW24";"SW_choc_v1_HS_CPG135001S30_2.25u";3;"SW_Push";;;
8;"R8,R4";"R_0805_2012Metric";2;"2M";;;
9;"SW18,SW12,SW6";"SW_choc_v1_HS_CPG135001S30_1.25u";3;"SW_Push";;;
10;"SW80,SW3";"SW_choc_v1_HS_CPG135001S30_1.5u";2;"SW_Push";;;
11;"R7,R3";"R_0805_2012Metric";2;"806K";;;
12;"D10,D44,D16,D22,D39,D38,D25,D5,D56,D46,D32,D49,D79,D71,D9,D6,D78,D55,D59,D8,D42,D68,D47,D18,D37,D36,D17,D4,D53,D64,D61,D88,D40,D60,D72,D27,D19,D45,D57,D12,D50,D58,D41,D2,D65,D67,D3,D48,D83,D24,D51,D74,D26,D81,D13,D69,D77,D23,D52,D15,D43,D75,D86,D66,D33,D1,D7,D84,D63,D31,D30,D11,D29,D87,D70,D20,D73,D21,D82,D34,D28,D76,D80,D62,D54,D35,D14";"D_SOD-123";87;"D";;;
13;"C2,C1";"C_0805_2012Metric";2;"100nF c.Cap.";;;
